,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
2695,2,1.6375,1.225,0.4,34.132798,15.46465225,7.41339425,9.14271375,9
1140,2,1.3625,1.075,0.35,23.586784,12.34620725,4.819415,5.6982495,9
2519,2,1.525,1.125,0.325,24.73493875,11.0279555,4.86193925,7.711064,11
3243,2,1.2375,0.9375,0.375,16.9246515,7.41339425,3.8271825,5.046211,11
1292,1,1.45,1.15,0.4125,34.79901125,13.4093135,5.57067675,12.3320325,16
2682,1,1.7125,1.3,0.375,38.93803825,20.36911575,8.3064035,9.07184,11
3343,2,1.6125,1.2625,0.4125,37.364641,15.592225,8.54737425,9.4970825,11
3079,2,1.425,1.1125,0.3625,24.87668625,11.679994,6.1518415,6.23689,8
1691,2,1.4625,1.0375,0.3875,19.80212575,8.50485,4.139027,5.5281525,12
1525,2,1.3,0.9875,0.45,18.14368,4.479221,3.118445,6.9456275,22
1906,0,0.6125,0.45,0.1625,2.0128145,0.850485,0.3685435,0.60951425,4
1127,1,0.875,0.6375,0.1625,5.0745605,1.99863975,1.09145575,1.70097,10
3801,1,1.9,1.4375,0.475,51.8512355,19.94387325,10.942907,15.87572,14
3736,1,1.6375,1.325,0.4875,39.349106,16.0741665,7.75358825,11.623295,13
2488,0,0.65,0.5375,0.2,2.8066005,1.0489315,0.72291225,1.2757275,5
3092,1,1.625,1.2875,0.4375,41.97143475,15.01106025,7.711064,14.8834875,20
2655,2,1.575,1.275,0.4625,35.0116325,14.50076925,9.8939755,8.68912175,11
1654,0,1.375,1.075,0.3625,22.38193025,10.61688775,4.8477645,6.3219385,11
1927,0,1.1875,0.8875,0.3125,13.79203175,6.10931725,3.13261975,4.025629,9
2931,0,1.2625,0.9625,0.3,17.02387475,6.7755305,4.025629,5.2446575,7
3301,2,1.675,1.3,0.375,39.859397,14.7133905,9.865626,10.489315,13
2027,1,1.45,1.125,0.4,24.59319125,11.15552825,6.2652395,6.0951425,9
3007,2,1.6625,1.3125,0.45,44.74968575,19.220961,6.4920355,12.927372,14
2911,2,1.275,1.0,0.35,23.09066775,13.0124205,5.57067675,5.5281525,10
436,0,1.3125,1.0,0.35,18.540573,8.6465975,4.53592,4.7910655,7
296,1,1.475,1.125,0.3,21.21960075,9.48290775,3.72795925,6.23689,14
500,1,1.2625,0.95,0.325,18.597272,6.4353365,5.06038575,6.23689,13
720,2,1.5,1.25,0.3875,37.761534,17.67591325,8.03708325,9.922325,8
1009,0,1.1,0.8625,0.3,13.8062065,5.57067675,3.061746,4.53592,14
2455,1,1.3375,1.0875,0.35,24.777463,10.58853825,6.4920355,6.22271525,8
3457,2,1.1375,0.925,0.2625,13.96212875,6.123492,3.52951275,3.8271825,9
2332,2,1.4125,1.1,0.3875,26.63435525,12.11941125,6.066793,7.654365,12
2079,1,1.125,0.8875,0.2875,13.5794105,6.02426875,2.96252275,4.252425,8
1359,1,1.0125,0.7625,0.2125,7.38504475,3.24601775,1.68679525,2.4097075,8
2294,0,1.175,0.9375,0.3125,14.81261375,6.42116175,2.948348,4.592619,8
2715,1,1.675,1.3125,0.425,39.70347475,20.2698925,8.57572375,10.9712565,9
1489,1,1.6625,1.3125,0.4,38.6403685,17.8318355,7.9095105,9.63883,8
443,2,1.6625,1.2875,0.45,39.3774555,16.85377775,9.185238,11.1980525,10
1043,1,1.675,1.3125,0.5,49.34230475,17.59086475,8.4198015,18.6256215,11
3790,1,1.4125,1.1625,0.4375,28.2077525,11.04213025,5.1879585,10.489315,15
3147,0,1.3625,1.075,0.325,21.53144525,10.149121,4.3374735,5.82582225,8
3237,1,1.475,1.15,0.3625,26.3366855,10.77281,6.80388,7.2291225,10
914,1,1.475,1.1875,0.4125,30.5324115,12.88484775,6.917278,8.77417025,9
2667,2,1.6375,1.2625,0.475,38.22930075,16.82542825,7.78193775,12.0485375,12
1268,0,1.325,1.025,0.375,17.349894,6.90310325,4.32329875,5.37223025,11
3763,2,1.75,1.3375,0.4375,50.2636635,19.29183475,13.60776,14.514944,15
2164,2,1.4125,1.15,0.375,24.84833675,9.79475225,5.45727875,7.7961125,10
2776,2,1.625,1.275,0.4375,38.271825,16.3009625,8.94426725,11.01378075,10
306,0,1.1125,0.775,0.225,9.525432,4.40834725,2.551455,2.42388225,7
10,1,0.825,0.5375,0.1875,3.24601775,1.2757275,0.75126175,0.9922325,6
14,0,1.225,0.95,0.3,14.9968855,6.13766675,3.9405805,4.3941725,11
402,0,1.05,0.7875,0.25,9.73805325,4.4508715,2.25378525,2.551455,6
2347,1,1.3875,1.0125,0.475,39.859397,17.33571925,9.695529,11.0279555,10
4,0,0.8875,0.6625,0.2125,6.90310325,3.458639,1.48834875,1.70097,6
2085,0,1.4375,1.125,0.3625,24.720764,13.25339125,5.10291,6.1518415,9
3868,2,1.4625,1.125,0.4,25.64212275,11.4815475,6.27941425,6.61960825,8
983,2,1.6375,1.3625,0.4625,49.8667705,19.46193175,8.8733935,15.5071765,11
1051,2,1.6,1.25,0.425,31.75144,14.04717725,7.49844275,9.07184,12
3138,2,1.675,1.3625,0.4,43.70075425,16.96717575,7.27164675,14.0330025,15
2553,1,1.6125,1.325,0.4875,39.405805,18.32795175,8.34892775,10.58853825,10
1759,1,1.55,1.175,0.3375,28.90231525,15.06775925,5.68407475,7.01650125,8
2658,1,1.675,1.3375,0.475,47.3153155,21.16290175,8.32057825,14.401546,11
473,1,1.675,1.3,0.4375,41.82968725,17.78931125,10.7444605,10.602713,10
2244,1,1.4625,1.1375,0.3875,32.1199835,15.63474925,6.3219385,8.6465975,12
1487,0,0.5875,0.4375,0.1,1.99863975,0.94970825,0.4252425,0.56699,5
2970,2,1.525,1.175,0.4,30.46153775,13.96212875,6.690482,8.221355,8
3798,2,1.6875,1.3375,0.4625,44.15434625,19.94387325,11.396499,11.3398,11
2223,1,1.525,1.25,0.4125,36.04638925,13.93377925,5.2446575,13.891255,12
706,0,1.2625,1.0,0.3125,15.88989475,6.39281225,4.06815325,4.819415,8
3785,2,1.1875,0.95,0.3625,16.159215,4.7343665,3.345241,5.3013565,11
3491,1,1.4875,1.1625,0.3125,22.6512505,9.19941275,5.6699,6.520385,10
1266,1,1.1875,0.9125,0.35,17.50581625,5.726599,4.09650275,5.386405,16
775,2,1.5375,1.1875,0.3875,31.6096925,13.721158,5.99591925,10.0640725,10
962,1,0.9,0.7375,0.2625,6.8322295,2.45223175,1.5025235,2.6932025,8
575,2,1.6125,1.25,0.45,36.24483575,15.15280775,8.49067525,9.7805775,13
2088,2,1.425,1.1125,0.375,28.2077525,14.288148,5.2446575,7.10154975,9
290,0,1.4375,1.1375,0.4,28.05183025,14.0330025,5.5281525,6.973977,9
2204,1,0.875,0.6875,0.275,8.29222875,3.47281375,1.80019325,2.56562975,8
3779,2,1.425,1.1,0.475,28.859791,12.6722265,5.8683465,7.5126175,9
1632,1,1.5625,1.2875,0.425,37.7331845,16.23008875,8.51902475,10.2341695,9
2590,2,1.425,1.1,0.3,22.7646485,10.829509,4.32329875,6.633783,9
1269,1,1.625,1.3,0.4375,35.87629225,17.4349425,7.86698625,9.525432,9
3748,1,1.25,0.9625,0.3625,21.58814425,6.973977,5.5281525,5.783298,14
1892,0,0.725,0.5625,0.1875,4.309124,2.0128145,1.6726205,1.2757275,9
2345,1,1.5,1.175,0.375,26.308336,11.97766375,5.1879585,7.7961125,8
3534,1,0.875,0.6625,0.275,8.40562675,3.86970675,1.7860185,2.4097075,7
66,1,1.6875,1.3,0.3625,38.68289275,15.7906715,9.65300475,10.9145575,11
188,1,1.4125,1.1375,0.375,27.76833525,12.587178,5.8116475,7.7961125,8
219,2,1.45,1.25,0.4125,26.2232875,10.489315,5.2446575,8.51902475,10
380,1,1.3875,1.1,0.375,23.756881,11.77921725,4.139027,6.520385,8
218,0,1.45,1.175,0.375,25.7129965,12.587178,5.25883225,6.93145275,11
1460,1,0.9625,0.775,0.25,8.06543275,3.01922175,2.1262125,2.83495,11
842,2,1.5625,1.2625,0.4375,32.601925,15.52135125,7.257472,8.63242275,11
252,1,1.825,1.4375,0.525,58.6551155,26.32251075,11.5949455,18.2287285,11
3409,0,1.125,0.875,0.275,14.571643,7.1724235,2.96252275,3.96893,8
1013,2,1.3125,1.0625,0.35,24.76328825,11.92096475,5.159609,6.30776375,10
596,1,1.2625,0.9125,0.2875,14.7700895,7.087375,2.721552,4.252425,8
981,0,0.8,0.6,0.1875,4.91863825,2.154562,1.00640725,1.417475,7
472,2,1.425,1.05,0.4,25.16018125,12.23280925,5.42892925,6.3219385,8
15,2,1.6375,1.2875,0.5,42.354153,20.56756225,8.7599955,11.4815475,12
979,0,0.9375,0.7,0.25,7.27164675,3.30271675,1.65844575,2.05533875,12
1077,2,1.525,1.225,0.425,33.38153625,16.03164225,6.76135575,8.3631025,15
3739,1,1.5125,1.175,0.2875,31.581343,11.12717875,8.2497045,8.788345,15
2950,2,1.65,1.25,0.4125,33.75007975,12.99824575,8.448151,10.489315,12
1495,1,1.2625,0.9625,0.275,18.5689225,9.02931575,4.252425,5.2446575,9
3816,2,1.5625,1.225,0.3625,26.08154,12.3887315,4.91863825,7.93786,10
1493,2,1.7,1.2625,0.425,38.08755325,18.6256215,8.4198015,10.0640725,12
3811,1,1.5625,1.2875,0.4125,34.5013415,18.9091165,5.85417175,8.83086925,10
234,0,0.825,0.625,0.1875,3.98310475,1.587572,0.9922325,1.417475,5
3495,2,1.375,1.1125,0.3875,28.08017975,15.422128,5.046211,6.180191,9
36,0,1.1125,0.8625,0.2625,11.5949455,4.74854125,2.87747425,3.3168915,7
1835,0,1.575,1.1625,0.375,29.24250925,12.09106175,6.80388,9.2135875,11
3712,1,1.3625,1.0375,0.35,23.24659,13.08329425,3.6003865,6.180191,9
3297,0,1.175,0.8875,0.3,10.44679075,3.572037,2.36718325,3.86970675,6
2423,2,1.6125,1.225,0.5375,39.859397,12.09106175,6.47786075,14.458245,25
1170,0,0.75,0.55,0.2,3.55786225,1.5592225,0.75126175,1.1056305,6
2549,2,1.7,1.4,0.4125,46.4648305,17.16562225,7.95203475,13.04077,15
3436,2,1.1875,0.875,0.2875,13.8062065,5.499803,4.12485225,3.5436875,13
3185,2,1.8875,1.5625,0.525,71.0154975,33.92017675,14.5432935,19.23513575,11
799,2,1.425,1.1625,0.45,36.7126025,9.6104805,6.30776375,12.47378,12
1861,2,1.6375,1.3,0.4375,41.730464,17.78931125,7.654365,12.757275,13
1021,0,1.175,0.875,0.3375,16.0741665,6.56290925,4.15320175,4.32329875,11
2381,0,1.1125,0.825,0.25,12.3887315,4.6209685,2.14038725,4.819415,13
177,0,1.15,0.8875,0.275,12.360382,5.59902625,2.721552,3.5436875,8
3733,1,1.6125,1.275,0.475,41.80133775,17.1514475,9.7805775,13.60776,9
64,2,1.6125,1.25,0.5,40.49726075,18.1153305,8.6465975,10.20582,11
1738,2,1.625,1.2375,0.4375,34.7848365,14.968536,7.314171,10.489315,11
3209,2,1.2875,1.075,0.35,23.643483,10.4042665,5.6699,6.520385,8
3513,1,1.4375,1.1875,0.3625,24.2955215,10.39009175,4.9044635,7.6260155,9
1929,2,1.825,1.375,0.5125,54.090846,15.35125425,10.10659675,16.91047675,14
3062,0,0.675,0.5125,0.1875,3.345241,1.6726205,0.8788345,0.86465975,4
3162,1,1.5875,1.225,0.4375,38.9805625,17.6617385,7.66853975,11.1980525,11
399,1,1.4,1.125,0.4625,30.333965,10.78698475,4.9611625,11.623295,19
2530,1,1.7375,1.375,0.5375,55.46579675,20.19901875,15.3370795,16.726205,14
1044,2,0.8625,0.65,0.225,5.8683465,2.19708625,1.23320325,2.16873675,10
2268,1,1.3875,1.075,0.4125,21.47474625,7.75358825,4.63514325,7.7961125,13
2574,0,1.2875,0.9625,0.3125,16.215914,6.7188315,4.06815325,4.6776675,7
685,1,1.2875,0.875,0.3875,26.15241375,11.86426575,5.613201,7.7394135,9
2201,0,1.1125,0.85,0.3625,12.303683,5.51397775,2.56562975,3.685435,7
1042,2,1.5375,1.3125,0.3875,29.44095575,12.1052365,6.56290925,9.7805775,11
688,1,1.2625,0.9625,0.3625,19.20678625,6.690482,5.0745605,5.6699,15
2506,1,1.2625,1.025,0.3125,18.200379,8.1930055,3.7704835,4.3941725,9
3782,0,1.425,1.0875,0.425,24.040376,11.3398,4.706017,7.087375,9
3855,2,1.6125,1.3125,0.425,38.838815,17.39241825,8.0229085,9.63883,10
735,1,1.1625,0.9,0.2625,13.834556,5.329706,2.39553275,5.386405,10
1887,0,1.425,1.125,0.3625,21.2904745,8.00873375,6.22271525,6.27941425,10
3880,1,1.55,1.2,0.375,31.22697425,14.07552675,6.8889285,8.6465975,10
2573,2,1.1625,0.875,0.325,14.004653,5.51397775,2.9199985,4.3941725,18
3722,2,1.6125,1.25,0.3875,34.60056475,17.42076775,6.690482,9.02931575,10
776,1,1.6125,1.2875,0.6,43.70075425,13.3526145,10.4609655,15.1669825,13
191,2,1.7375,1.4125,0.475,49.99434325,21.16290175,11.3114505,14.10387625,11
3222,0,1.05,0.775,0.25,7.95203475,3.18931875,1.74349425,2.62232875,8
1324,1,1.3125,0.9125,0.425,27.22969475,12.417081,6.30776375,7.824462,10
3374,1,1.275,1.0375,0.35,23.20406575,8.57572375,6.10931725,6.6621325,16
2034,0,1.4,1.05,0.35,23.7285315,11.736693,6.066793,5.6699,8
2565,2,1.425,1.1125,0.3875,20.7801835,7.994559,4.5075705,6.6621325,14
383,1,1.45,1.125,0.35,28.7180435,10.77281,6.123492,10.20582,14
905,2,1.4375,1.1625,0.4375,31.1561005,13.42348825,5.726599,9.922325,9
565,1,1.4375,1.0875,0.3375,28.122704,12.246984,6.30776375,6.7755305,10
3336,2,1.75,1.3875,0.55,47.230267,18.3421265,12.14776075,12.8990225,11
2465,0,1.325,0.9875,0.3125,17.67591325,8.43397625,3.061746,5.5281525,11
779,0,0.7625,0.5375,0.1625,3.04757125,1.247378,0.58116475,1.077281,5
1332,2,0.925,0.6875,0.2,6.4353365,2.6365035,1.77184375,1.984465,8
712,2,1.8125,1.5,0.5,49.2430815,19.7596015,10.16329575,16.8679525,11
3601,2,1.4375,1.125,0.3,27.17299575,12.6722265,4.7910655,7.7961125,12
3630,0,0.8125,0.6125,0.175,4.5642695,2.14038725,0.72291225,1.2757275,6
3796,1,1.7375,1.4,0.4625,49.32813,25.0893075,10.53183925,12.40290625,10
263,0,1.0875,0.8125,0.2625,9.4970825,3.855532,1.8427175,3.2601925,8
1606,0,1.125,0.8875,0.3,11.679994,3.24601775,1.88524175,4.53592,19
1084,2,1.1375,0.8875,0.3,12.74310025,5.0178615,2.948348,4.252425,9
71,2,1.325,1.05,0.425,23.473386,11.623295,5.896696,4.26659975,6
3671,0,0.425,0.325,0.2375,0.850485,0.3685435,0.226796,0.283495,4
2800,0,0.95,0.75,0.25,8.107957,3.69960975,1.587572,2.551455,7
2115,2,1.5375,1.1875,0.3875,28.462898,12.68640125,5.4714535,8.20718025,10
169,0,0.95,0.7,0.2375,8.17883075,4.6776675,1.23320325,1.8994165,7
3493,0,1.125,0.85,0.3,13.96212875,6.8322295,3.04757125,3.40194,6
3385,1,1.375,1.075,0.325,23.79940525,8.94426725,5.54232725,6.81805475,10
1052,0,1.0875,0.8125,0.3,9.808927,4.5075705,2.381358,2.6932025,7
648,1,1.45,1.15,0.45,32.4601775,13.60776,7.8528115,9.2135875,11
2013,0,1.3125,1.0,0.35,17.0380495,7.44174375,3.64291075,5.20213325,9
1005,1,1.55,1.2,0.375,35.890467,17.81766075,7.29999625,8.7599955,12
998,1,1.15,0.8875,0.275,11.7650425,6.0951425,2.324659,3.685435,12
1977,0,0.7,0.5125,0.2,3.6003865,1.474174,1.1056305,1.190679,9
890,2,1.375,1.0625,0.3625,22.5945515,8.4198015,4.252425,7.5126175,9
159,1,1.6125,1.2,0.375,33.792604,17.16562225,7.35669525,8.0796075,9
3754,2,1.575,1.2375,0.3625,32.5168765,15.46465225,7.540967,8.17883075,9
1590,2,1.525,1.2125,0.425,31.19862475,14.52911875,6.4920355,8.6465975,11
3423,0,1.125,0.875,0.3375,14.004653,6.25106475,2.67902775,3.98310475,7
553,0,1.25,0.925,0.2875,16.28678775,8.674947,3.175144,3.9972795,7
3417,2,1.225,0.8875,0.4,24.93338525,9.87980075,6.0951425,8.00873375,8
871,2,1.65,1.25,0.4375,37.63396125,15.762322,7.95203475,11.58077075,9
2445,0,1.2125,0.8625,0.4,24.6357155,8.74582075,5.2446575,9.0434905,9
2635,1,1.325,1.0875,0.4,25.0326085,8.958442,4.649318,9.4970825,15
2986,2,1.2625,1.025,0.375,17.98775775,6.8889285,3.78465825,6.0951425,17
3442,0,0.925,0.6875,0.2125,5.79747275,2.721552,1.587572,2.26796,6
1287,1,1.4625,1.1875,0.375,30.1922175,15.06775925,5.6415505,8.17883075,10
3230,0,1.275,0.9875,0.3875,15.29455525,6.98815175,3.07592075,4.7343665,8
316,1,1.4875,1.1375,0.3625,26.705229,12.190285,5.159609,7.8528115,11
3320,0,1.1,0.85,0.25,11.5382465,5.9250455,2.08368825,2.9199985,7
1355,0,1.3125,0.9375,0.3,17.90270925,8.63242275,3.231843,5.386405,9
3501,1,1.6125,1.2625,0.375,32.89959475,14.7133905,7.41339425,9.4970825,10
3470,2,1.375,1.0375,0.3375,21.64484325,9.015141,5.953395,5.6699,9
3201,0,0.4875,0.3375,0.1,0.92135875,0.38271825,0.1417475,0.26932025,4
643,0,1.55,1.2125,0.425,34.246196,13.62193475,8.63242275,9.355335,15
299,2,1.7625,1.4,0.425,41.31939625,17.2081465,9.015141,12.47378,11
